Name,Gender,Start_Date,Login_Time,Salary,Bonus%,Is_Senior_Management,Department
Allison Stephens,Female,31-12-2015,13:52:47,70474,11,TRUE,Sales
Sara Miranda,Male,11-11-2021,14:35:00,72953,0,FALSE,IT
Eduardo Randall,Male,11-04-2017,05:07:10,69726,7,FALSE,Marketing
Laura Brady,Male,25-07-2015,18:41:37,79708,9,TRUE,HR
Nathan Barker,Female,25-06-2015,17:44:36,70121,16,TRUE,IT
Brandy Lopez,Female,19-10-2021,06:33:46,67068,15,FALSE,Marketing
Jerry Thomas,Male,14-06-2017,06:59:01,70916,4,TRUE,Sales
Megan Lane,Male,09-05-2021,18:39:20,65866,15,FALSE,IT
Victor Ramirez,Male,23-10-2021,22:15:14,60706,17,FALSE,IT
Thomas Hayes,Female,24-09-2019,00:30:17,75513,11,FALSE,Marketing
Whitney Williams,Male,16-01-2015,01:52:51,77296,9,FALSE,Sales
John Rivas,Female,23-08-2022,21:48:02,63188,4,FALSE,HR
Elizabeth Sanchez,Female,20-06-2015,09:32:14,74992,20,TRUE,Sales
Sherry Koch,Female,24-12-2015,19:20:28,75808,9,TRUE,Sales
Richard Smith,Male,20-09-2015,20:01:41,66411,20,TRUE,IT
Brandi Cruz,Male,15-12-2022,18:40:52,64836,12,FALSE,Sales
Mary Harris,Male,23-06-2019,03:10:03,63147,11,FALSE,Sales
Destiny Thompson,Male,22-04-2020,23:44:43,63845,16,FALSE,Marketing
Brian Watson,Male,29-10-2022,09:38:49,73238,7,TRUE,HR
Joshua Mitchell,Male,25-09-2015,20:18:35,72997,15,FALSE,Sales
Mary Duncan,Female,20-01-2021,12:22:12,62936,14,FALSE,IT
Donald Estes,Female,25-07-2022,12:46:32,72036,0,TRUE,HR
Christopher Elliott,Male,21-07-2021,04:04:46,63999,15,TRUE,HR
Shelly Davis,Female,15-01-2016,12:02:17,68969,3,TRUE,Marketing
Stephen Foley,Female,09-02-2021,17:54:34,74210,9,TRUE,HR
Jonathan Davenport,Female,25-05-2023,14:05:08,62080,17,TRUE,Marketing
Bryan Stanley,Male,24-12-2018,18:44:54,72903,17,FALSE,HR
Jamie Rodgers,Male,28-10-2021,14:51:49,66798,3,TRUE,Sales
Andrew Pacheco,Male,13-11-2016,04:17:17,78177,14,FALSE,HR
Ashley Fox,Male,19-10-2016,06:43:26,64221,18,TRUE,Sales
Lisa Coleman,Male,10-11-2021,12:06:39,78431,8,TRUE,HR
Mary Lewis,Male,27-06-2016,03:26:36,76585,9,FALSE,Sales
Zachary Parker,Female,27-12-2015,18:49:58,60002,7,FALSE,HR
Brian Bowman,Female,27-09-2021,17:45:09,77501,14,TRUE,Marketing
William Robinson,Female,07-03-2020,10:39:23,77126,11,TRUE,HR
James Daniel,Male,08-11-2016,22:31:37,67769,1,TRUE,Sales
Brett Patterson III,Female,01-12-2022,21:35:50,67052,4,TRUE,IT
Chelsea Rogers,Female,05-12-2016,18:56:39,64210,19,FALSE,HR
Andrea Stevenson,Female,19-02-2023,22:10:50,68541,12,TRUE,Marketing
Heidi Frederick,Female,30-06-2022,18:41:36,62728,8,FALSE,Sales
Mary Cline,Male,28-11-2022,05:53:59,62312,20,FALSE,Sales
Seth Gordon,Female,14-04-2018,21:43:50,78469,20,TRUE,Marketing
Sharon Carter,Male,02-08-2015,08:14:38,70366,13,FALSE,HR
Mary Boyd,Male,25-01-2019,07:53:01,62540,8,TRUE,HR
Hannah Dillon,Female,22-10-2019,14:13:21,62161,10,TRUE,IT
Patricia Shepard,Female,20-08-2018,00:27:23,68953,4,TRUE,IT
Timothy Mills,Male,30-04-2018,00:00:21,63209,12,TRUE,Marketing
Jennifer Ortiz,Male,29-06-2018,09:31:44,64046,5,FALSE,Marketing
Tara Roberts,Male,26-02-2022,19:23:25,77332,11,FALSE,IT
Scott Estrada,Male,19-02-2018,03:10:01,61571,5,FALSE,Marketing
William Roman,Male,01-08-2015,15:16:03,71310,17,FALSE,Marketing
Tina Ramos,Male,02-11-2016,23:39:16,68488,0,TRUE,Sales
Jennifer Harrell,Male,19-02-2020,01:05:57,72412,18,FALSE,HR
Jake Nelson,Female,22-06-2015,23:43:39,68162,19,FALSE,Marketing
Benjamin Baker,Male,05-02-2017,07:30:39,74383,11,FALSE,IT
Joseph Bush,Female,19-06-2015,15:23:46,74017,16,TRUE,IT
Zachary Fry,Male,03-02-2022,03:50:28,70015,13,FALSE,HR
Jennifer Adams,Male,08-02-2019,01:24:20,62513,7,TRUE,Sales
Ray Kelly,Male,28-12-2019,08:21:46,62771,9,FALSE,HR
Douglas Lowery,Female,26-05-2022,09:27:14,76668,4,FALSE,Marketing
Brian Johnson,Male,10-03-2020,07:59:20,73286,0,TRUE,HR
Jesse Bennett,Female,22-04-2016,07:57:53,77508,11,TRUE,HR
Brent Ramirez,Female,19-10-2018,15:49:03,65522,16,TRUE,Sales
Wendy Olson,Male,01-02-2022,16:03:13,72027,4,FALSE,HR
Nancy Benjamin,Female,16-04-2019,10:37:42,76236,12,TRUE,IT
Gabrielle Vasquez,Male,28-04-2019,16:41:41,71074,7,TRUE,IT
Sandra Ross,Female,23-03-2020,15:36:18,75831,9,FALSE,Sales
Heather Mcguire,Male,24-03-2021,18:54:46,78639,12,TRUE,IT
Carlos Mcdaniel,Male,21-10-2017,20:43:18,75173,19,FALSE,HR
Charles Cross,Female,22-04-2017,11:38:30,60193,19,FALSE,IT
David Hall,Female,20-02-2022,23:21:04,71596,3,TRUE,IT
Amy Watson,Male,03-04-2015,15:12:40,73174,11,TRUE,HR
Michael Smith,Female,13-04-2017,11:00:18,76123,6,TRUE,Sales
Diana Keller,Female,01-10-2016,18:48:21,64058,15,TRUE,Sales
Mark Johnson,Female,07-04-2023,18:29:43,67408,15,FALSE,IT
Victoria Hardy,Female,26-01-2018,15:02:47,71943,13,TRUE,IT
Victor Robinson,Male,20-04-2016,17:39:32,74371,14,TRUE,Sales
Edward Wood,Female,09-10-2020,00:53:20,74220,0,FALSE,Sales
William Smith,Male,30-08-2017,13:52:01,66211,9,TRUE,Sales
Denise Chambers,Female,03-07-2021,00:12:43,73797,10,TRUE,Sales
Sean Maldonado,Male,04-10-2019,22:45:59,75705,8,TRUE,Marketing
Kyle Kelley,Female,13-11-2023,19:20:34,78026,15,TRUE,IT
Donna Johnson DDS,Female,09-10-2016,04:21:27,76444,12,TRUE,HR
Morgan English,Male,20-01-2022,22:44:11,60693,4,TRUE,IT
Brett Williams,Male,31-01-2015,04:49:09,67749,1,FALSE,Marketing
Robin Lee,Male,15-11-2022,13:07:17,74232,15,FALSE,IT
Randall Flores,Female,16-10-2020,04:40:57,62707,13,TRUE,Sales
Marco Patterson,Male,17-06-2020,06:36:51,68174,8,TRUE,IT
Adam Hill,Male,31-03-2017,01:25:46,74062,6,FALSE,HR
Seth Strong,Male,23-11-2019,15:05:42,66182,18,TRUE,Sales
Nathaniel Rogers,Male,24-07-2016,13:34:11,64335,12,TRUE,IT
Laura Francis,Male,16-08-2023,23:44:18,64790,13,TRUE,Sales
Paul Young,Male,26-08-2017,03:17:23,61669,12,FALSE,IT
Erik Wilson,Male,05-05-2023,23:05:58,67267,10,FALSE,Marketing
Maria Hodge,Male,19-10-2021,15:11:29,76707,13,TRUE,IT
Elizabeth Kline,Male,12-07-2023,03:28:29,68822,11,FALSE,IT
Mr. Bobby Johns PhD,Female,30-03-2020,20:48:45,68092,10,TRUE,Sales
Patricia Rogers,Male,21-09-2015,22:48:09,60017,1,FALSE,Sales
Wendy Hall,Female,01-10-2015,12:08:29,75468,8,TRUE,Marketing
Alexis Diaz,Male,21-02-2020,00:22:12,68266,15,FALSE,IT
Krista Miller,Female,05-08-2021,18:40:12,63654,3,TRUE,Sales
Morgan Hooper,Female,13-12-2022,11:47:23,71815,11,FALSE,Sales
Miss Candace Brown,Female,23-02-2016,21:29:31,66882,18,FALSE,HR
Susan Tran,Male,26-05-2023,11:58:24,64275,20,TRUE,HR
Janice Sanchez,Male,06-07-2018,10:12:11,66321,14,TRUE,HR
Elizabeth Murray,Female,25-12-2021,08:29:43,69878,15,TRUE,Sales
Thomas Love,Male,24-12-2016,03:35:47,64188,6,FALSE,IT
John Cochran,Female,30-12-2020,21:06:11,71993,14,TRUE,Marketing
Beverly Thomas,Male,26-01-2022,12:37:59,75821,13,TRUE,Sales
Amy Bell,Female,22-08-2015,20:12:06,64224,9,TRUE,HR
Brandy Klein,Male,03-02-2016,05:28:22,73025,15,TRUE,Sales
Whitney Casey,Female,21-10-2015,21:53:03,76688,12,FALSE,Marketing
Jacob Cummings,Female,13-11-2020,22:31:23,66780,5,TRUE,Sales
Lori Davis,Male,07-10-2023,02:23:37,79402,0,FALSE,IT
Dorothy Keith,Female,23-09-2022,13:59:07,67219,9,FALSE,HR
Corey Hall,Male,14-11-2020,02:59:18,67337,1,TRUE,IT
Jean Sanchez,Male,11-09-2017,02:05:07,64854,8,TRUE,IT
Jeffrey Miller,Male,27-01-2021,02:06:45,68159,6,TRUE,HR
Sierra Miller,Female,14-06-2023,03:24:01,79829,11,FALSE,HR
Michael Stone,Female,29-11-2017,21:12:56,64378,13,FALSE,IT
Ms. Angela Tucker,Male,17-10-2018,15:19:38,60341,11,TRUE,IT
Michelle Campbell,Male,06-05-2023,10:58:06,68388,0,TRUE,Marketing
Jason Mclaughlin,Female,15-01-2015,05:03:04,79803,17,TRUE,Marketing
Jonathan Reeves,Male,17-10-2020,23:28:45,70625,8,TRUE,Marketing
Kyle Anderson,Male,27-04-2015,02:53:52,74616,7,FALSE,IT
Lydia Hall,Male,30-05-2020,13:53:43,75696,2,FALSE,Sales
Sandra Hart,Female,27-02-2021,22:59:28,66062,5,TRUE,Marketing
Mr. Benjamin Miller MD,Male,02-11-2020,15:22:41,69242,0,FALSE,Sales
Angela Smith,Male,27-12-2015,15:15:51,72917,19,TRUE,HR
Victor Carter,Male,25-02-2015,15:04:04,62360,13,TRUE,Marketing
Kevin Sloan,Female,12-02-2016,09:26:27,63284,16,TRUE,HR
Tyrone Carpenter,Male,08-03-2018,12:28:01,72382,12,TRUE,HR
Gabriel Johnson,Male,09-08-2018,05:53:33,61433,4,TRUE,HR
Christopher Watson,Female,28-09-2022,12:25:28,64673,20,TRUE,HR
Robert Koch,Male,01-10-2018,02:18:52,77772,10,TRUE,Sales
Russell Horn,Male,12-11-2017,19:44:44,75742,18,FALSE,Sales
Raymond Mitchell,Female,14-12-2017,00:14:46,70870,15,TRUE,Sales
Rebecca Moore,Male,12-06-2017,17:29:46,77810,8,TRUE,HR
Erika Smith,Male,22-05-2021,11:01:53,63369,17,FALSE,HR
Tyrone Cherry,Female,05-05-2020,03:07:23,64647,0,TRUE,HR
Joshua Thomas,Male,15-04-2023,20:40:50,73996,12,TRUE,IT
Melissa Clark,Female,28-05-2023,13:11:29,67401,12,TRUE,Marketing
Lindsey Watson,Male,15-04-2017,20:31:19,63608,7,TRUE,IT
Daniel Owens,Female,05-10-2015,21:32:10,62499,19,FALSE,HR
Nicole Ortiz,Female,19-02-2015,20:12:47,62778,1,TRUE,Sales
Wayne Reed,Female,08-06-2016,02:01:11,77382,10,TRUE,Marketing
Joshua Gonzalez,Male,28-08-2021,13:40:11,69881,19,FALSE,IT
Donna White,Male,22-11-2015,11:58:29,68883,15,FALSE,IT
Christina Walker,Male,24-12-2021,03:53:36,60071,4,TRUE,IT
Richard Miller,Male,24-04-2022,15:10:43,72799,14,FALSE,HR
Jennifer Harris,Male,22-01-2016,16:04:09,78934,13,FALSE,Sales
Travis Fox,Male,25-10-2016,05:20:23,70585,4,TRUE,Marketing
Jean Porter,Female,22-09-2015,20:15:10,70463,15,FALSE,Marketing
Christy Ross,Female,27-08-2019,15:22:12,79717,20,FALSE,Sales
Renee Larsen,Male,16-08-2022,14:56:41,72556,13,FALSE,Marketing
Catherine Johnson,Male,06-08-2022,03:37:26,72603,2,FALSE,Sales
Deborah Harris,Male,02-08-2023,21:09:35,67706,11,TRUE,Sales
Joseph Baker,Male,12-03-2020,06:24:35,71875,17,FALSE,Sales
Michael Olsen,Male,08-12-2019,18:20:57,61952,11,FALSE,Sales
Charles Ramsey,Female,21-08-2017,18:47:13,75086,4,FALSE,Sales
Chad Brown,Male,28-09-2023,04:24:53,67359,1,TRUE,HR
Deborah Chavez,Male,30-09-2022,12:11:44,72368,0,FALSE,IT
Heidi Mann,Male,26-10-2023,00:12:23,63473,18,TRUE,Marketing
Eric Caldwell,Male,08-04-2020,19:42:15,60989,4,FALSE,Sales
Cody Greer,Male,18-01-2023,09:06:00,68029,2,TRUE,Marketing
Karen Schmidt,Male,16-02-2015,21:17:27,65977,15,TRUE,IT
Daniel Sosa,Female,03-08-2023,20:36:02,73484,10,FALSE,HR
Cheryl Black,Female,09-09-2023,19:59:23,63645,4,TRUE,HR
Andrea Hardy,Male,16-06-2020,16:08:32,76491,5,TRUE,Marketing
Johnny Cain,Female,08-01-2022,15:18:29,74886,17,FALSE,IT
Matthew Moore,Male,10-09-2015,23:31:16,73882,5,FALSE,HR
Jose Guzman,Female,05-01-2020,01:04:07,64100,6,FALSE,HR
Eric Morales,Male,06-10-2020,15:50:12,72854,5,TRUE,Marketing
Nicole Mcknight,Female,08-06-2021,14:19:46,70262,20,FALSE,Marketing
Amanda Walker,Male,02-09-2023,16:44:06,61791,11,FALSE,Sales
Seth Brooks,Female,07-06-2017,14:58:41,63552,3,TRUE,IT
Douglas Gray,Female,24-11-2022,06:16:56,60919,7,FALSE,Sales
Jason Ramsey,Male,03-11-2019,16:39:55,62140,6,TRUE,IT
Michael Padilla,Male,08-05-2020,22:46:43,78077,6,TRUE,Sales
Jonathan Peterson,Female,26-07-2020,00:07:54,62786,18,TRUE,Marketing
Christina Bowman,Male,08-09-2022,10:55:40,61574,10,TRUE,IT
Jose Miller,Male,07-12-2021,23:47:16,71686,9,FALSE,Sales
Margaret Burns,Female,13-02-2023,19:30:03,72800,11,TRUE,HR
Daniel Hughes,Female,11-03-2021,11:20:57,73345,16,TRUE,Sales
Kyle Morris,Male,22-03-2022,17:31:11,79240,12,FALSE,HR
Denise Novak,Female,15-07-2022,16:25:17,65282,4,FALSE,HR
Dennis Nunez,Male,14-04-2021,22:22:51,67588,6,TRUE,Sales
Amy Dominguez,Female,19-08-2023,05:08:39,74663,4,FALSE,IT
Stephen Brown,Female,04-09-2021,21:17:41,74119,1,FALSE,Sales
Christina Lane,Male,27-03-2017,11:45:43,79886,2,TRUE,Marketing
Dean Williams,Male,27-06-2021,20:22:59,60489,4,FALSE,HR
Jessica Henry DVM,Female,01-10-2015,00:55:00,63083,14,FALSE,Sales
Joanna Jackson,Female,09-02-2023,11:16:26,65291,2,FALSE,IT
Miguel Armstrong,Female,31-03-2020,12:16:56,62923,2,TRUE,Marketing
Kevin Campbell,Female,19-11-2016,13:28:32,75507,8,FALSE,Sales
Ryan Miller,Male,06-03-2023,02:06:43,78636,15,TRUE,IT
Thomas Reeves,Female,15-01-2023,20:29:54,73137,13,TRUE,Marketing
Stephanie Parker,Female,18-10-2015,17:48:45,76792,19,FALSE,IT
Holly Kim,Male,17-05-2018,01:31:54,73539,16,FALSE,IT
Sandra Ryan,Male,15-11-2017,21:57:06,61869,7,TRUE,Sales
April Wilson,Male,04-04-2017,09:45:00,69524,12,TRUE,Marketing
Stephanie Ross,Male,29-04-2018,19:45:10,67308,12,FALSE,HR
Kevin Perez,Female,19-01-2015,17:42:49,75265,14,FALSE,HR
Alexis Adams,Male,03-10-2020,20:07:20,65907,3,FALSE,Marketing
Levi Harper,Male,08-04-2015,03:15:15,73157,10,TRUE,IT
Amy Lynch,Female,03-10-2023,11:01:22,79803,15,TRUE,Marketing
John Knight,Male,01-06-2018,23:34:51,69121,14,TRUE,Sales
Joshua Weaver,Female,11-02-2018,23:42:53,64768,20,TRUE,IT
Matthew Krause,Male,08-06-2021,10:22:25,79696,12,TRUE,IT
Sharon Gray,Female,23-06-2017,05:00:43,75512,6,TRUE,Sales
Brandy Williams,Male,14-10-2018,04:45:46,73858,8,FALSE,Sales
Sheila Carlson,Male,22-02-2022,08:00:57,64644,2,FALSE,Marketing
Timothy Williams,Male,07-05-2021,01:56:12,69775,14,FALSE,Sales
Amber Alvarado,Female,10-01-2018,04:11:10,66031,1,TRUE,Marketing
Vicki Brooks,Female,03-09-2021,00:17:22,69728,5,TRUE,IT
Mr. Kevin Thornton,Female,08-02-2022,00:33:34,75781,15,TRUE,Marketing
Maria Johns,Female,14-11-2023,00:22:14,78688,12,TRUE,Sales
Kevin Alvarado,Male,13-05-2019,09:08:25,78955,19,TRUE,IT
Angela Smith,Female,26-12-2023,11:09:45,60464,4,FALSE,Sales
Samantha Fernandez,Female,22-12-2015,00:04:01,70368,3,FALSE,IT
Albert Ortega,Male,11-07-2017,15:43:59,74763,4,FALSE,HR
Connie Carroll DVM,Male,14-11-2022,16:09:13,67163,6,FALSE,Sales
Erica Walker,Female,22-12-2018,21:12:46,67082,11,TRUE,Sales
Derek Griffin,Male,09-03-2022,22:41:10,72132,11,TRUE,IT
Richard Wood,Female,20-07-2018,03:17:49,76452,3,FALSE,Marketing
Kenneth Cordova,Female,14-06-2021,09:50:53,73447,11,FALSE,Marketing
Glenn Spence,Female,24-01-2019,15:03:27,63715,5,FALSE,Marketing
Rebecca Myers,Female,20-10-2018,16:25:51,65796,17,TRUE,Marketing
Ryan Bell,Female,16-09-2023,22:59:06,69339,13,FALSE,HR
Timothy Floyd,Male,09-01-2019,21:45:15,63401,2,TRUE,Marketing
Joseph Nelson,Male,24-09-2023,09:43:26,76266,19,TRUE,Marketing
Kimberly Valencia,Male,04-12-2018,09:23:52,69499,13,TRUE,Sales
Jeffrey Wells,Female,01-09-2019,21:11:45,78074,12,TRUE,Sales
Craig Reed,Female,15-10-2019,17:40:56,64077,11,FALSE,Marketing
Carol Horne,Female,11-12-2023,20:06:11,60249,11,TRUE,IT
Charlotte Boyle,Female,02-03-2022,11:35:12,68667,9,FALSE,Sales
Patrick Coleman,Male,17-04-2018,10:37:33,73584,1,TRUE,HR
Larry Wilson,Male,18-07-2022,17:30:48,72268,16,FALSE,IT
Steven Wagner,Male,27-04-2017,18:09:48,78749,13,TRUE,Marketing
Colleen Campbell,Male,27-09-2020,05:10:28,72888,1,FALSE,Sales
Kimberly Griffin,Female,20-11-2015,18:53:09,65692,12,FALSE,Sales
Jeremy Barnes,Female,11-01-2017,03:15:47,67568,3,TRUE,HR
Noah Rogers,Female,16-12-2018,20:30:27,68527,17,TRUE,IT
Alex Deleon,Male,23-10-2018,18:43:42,63055,2,TRUE,Marketing
Eric Kirk,Male,24-03-2023,16:51:43,79440,4,TRUE,HR
Daniel Mcfarland,Female,14-01-2021,17:43:50,60828,4,FALSE,IT
Rachel Rowe,Male,10-11-2020,19:34:08,67855,20,TRUE,IT
Dana Conrad,Male,12-03-2018,04:07:31,77544,7,FALSE,IT
Teresa Brady,Male,29-08-2020,06:01:59,69010,2,TRUE,HR
John Delgado,Male,20-02-2016,05:14:27,63635,14,TRUE,HR
Alicia Martinez,Male,12-09-2023,20:03:04,69255,8,TRUE,HR
Mary Adams,Male,16-01-2019,07:39:32,76195,11,TRUE,Marketing
Courtney Wilson,Male,15-06-2015,07:42:19,76090,0,FALSE,HR
Nicole Olsen,Female,27-04-2015,10:59:06,62500,6,FALSE,Marketing
Linda Dunn,Female,28-03-2023,01:30:06,74774,5,TRUE,IT
Lori Nelson,Male,18-08-2016,22:39:23,65854,18,TRUE,HR
Andrea Campbell,Female,28-11-2016,22:39:40,71363,15,TRUE,Sales
Kimberly Grant,Female,21-03-2015,07:18:22,63984,6,TRUE,HR
Ashley Tate,Male,25-08-2018,20:25:19,67087,11,TRUE,Sales
Alison Gordon,Male,28-01-2022,03:40:45,70732,4,TRUE,HR
Vanessa Nguyen,Male,05-06-2017,21:56:29,68768,8,FALSE,Sales
Danny Sherman,Male,21-04-2015,16:58:38,71421,17,FALSE,Marketing
Nathan Johnson,Female,28-10-2017,04:32:45,74288,16,FALSE,Sales
Sandra Barnes,Female,18-06-2021,18:47:03,65667,6,FALSE,Marketing
Timothy Hanson,Male,01-11-2023,22:20:48,79124,18,FALSE,Sales
George Sharp,Male,22-06-2020,17:09:15,75985,13,FALSE,Marketing
Beverly Mcdonald,Female,12-08-2023,09:16:12,70444,19,TRUE,Marketing
Brandy Mosley,Female,06-01-2018,18:01:09,66544,18,FALSE,IT
Christopher Lowe,Male,15-08-2018,04:28:45,74726,5,TRUE,IT
Kenneth Steele,Female,20-08-2015,00:38:34,69616,19,FALSE,Marketing
Amanda Jennings,Male,13-12-2015,03:43:18,63756,5,FALSE,Marketing
Stephanie Anderson,Male,02-09-2018,14:17:25,71722,7,TRUE,Sales
Joseph Leach,Female,08-04-2022,06:43:19,72188,4,FALSE,HR
David Mcbride,Male,05-03-2020,13:33:20,70439,0,FALSE,Sales
Clayton Thompson,Female,21-06-2020,03:01:02,78594,10,TRUE,HR
David Carroll,Female,11-08-2016,13:24:08,69293,19,TRUE,Sales
Tara Reyes,Male,09-03-2016,19:58:29,78381,8,TRUE,Marketing
Rebecca Allen,Female,23-07-2022,20:23:15,70413,10,TRUE,Sales
Alexandria Williams,Male,12-02-2017,04:59:19,76185,15,TRUE,IT
Natalie Alexander,Female,16-07-2021,21:37:21,63907,3,FALSE,Sales
Steven Cervantes,Female,29-03-2021,17:23:52,79371,12,TRUE,HR
Krystal Barr,Female,19-02-2023,10:24:04,60584,20,TRUE,Marketing
Marvin Baker,Female,07-04-2015,06:17:34,64294,12,TRUE,HR
Marc Miller,Female,29-12-2016,21:00:29,60533,2,FALSE,HR
John Carter,Female,26-12-2023,11:07:46,69863,8,FALSE,IT
Rachel Alvarez,Female,16-05-2022,18:15:25,62613,17,FALSE,Marketing
William Zamora,Male,28-09-2016,16:55:51,72888,9,FALSE,Marketing
Elizabeth Nelson,Male,09-03-2017,08:23:05,72252,19,TRUE,HR
Catherine Mathis,Male,07-04-2021,21:42:46,61567,0,TRUE,HR
Jenny Martin,Female,13-09-2020,09:38:57,74276,7,TRUE,HR
Amber Meyer,Male,19-07-2023,21:49:19,72087,17,TRUE,HR
Mark Wells,Female,27-05-2023,16:26:36,61411,3,TRUE,IT
Megan Cook,Male,03-06-2016,22:21:23,68641,10,FALSE,IT
Gary Cordova,Male,11-10-2020,08:46:49,64514,18,FALSE,HR
Alan Williams,Male,13-04-2017,22:21:59,70463,4,FALSE,Marketing
Eric Thompson,Male,26-01-2023,12:42:57,77097,16,TRUE,Marketing
Brandon Young,Female,12-02-2015,21:58:05,69192,10,FALSE,Sales
Justin Hernandez,Male,03-04-2016,01:03:12,68644,9,TRUE,IT
Laura Daniels,Male,12-12-2022,04:46:10,66746,2,TRUE,Marketing
Terry Jones,Male,18-10-2015,00:47:08,66962,0,TRUE,Marketing
Susan Haley,Female,31-03-2021,06:58:10,66157,15,TRUE,IT
Sally Duncan,Male,27-10-2015,17:00:25,79350,16,FALSE,IT
Curtis Carson,Female,04-05-2017,08:06:45,65046,16,TRUE,Sales
Andrea Holmes,Male,08-09-2022,15:54:16,71915,12,FALSE,Sales
Mitchell Brown,Female,07-09-2020,19:09:40,66158,2,FALSE,Marketing
Brian Perkins,Male,05-09-2022,15:36:06,70064,18,TRUE,Sales
Nicholas Adkins,Female,27-08-2016,19:31:35,63511,3,TRUE,HR
Madison Smith,Female,30-06-2022,06:48:51,66128,8,TRUE,Marketing
Katie Kelley,Female,31-12-2022,14:21:22,71532,8,TRUE,HR
Jamie Brown,Female,10-02-2021,13:36:27,74138,6,TRUE,Marketing
Richard Campos,Female,16-01-2020,21:58:30,76643,10,TRUE,Marketing
James Rhodes MD,Female,29-08-2021,02:22:21,72116,3,TRUE,Marketing
Darren Perez,Female,27-01-2020,21:41:23,66354,9,TRUE,Marketing
Natasha Cook,Male,25-10-2020,20:51:01,79465,8,FALSE,Marketing
Amy Solomon,Male,30-10-2021,14:01:37,61634,20,TRUE,HR
Kenneth Wells,Male,01-08-2022,23:18:04,63774,1,TRUE,IT
Ashlee Olson,Male,22-01-2023,10:53:18,62157,17,TRUE,IT
Mr. John Rojas,Male,28-04-2018,13:31:33,73256,12,FALSE,HR
Marc Miller,Male,04-10-2016,12:58:38,68790,15,TRUE,Sales
Bruce Johnston,Male,09-11-2019,22:11:25,71391,20,FALSE,IT
Dustin Christensen,Male,23-12-2023,09:26:32,63088,5,FALSE,IT
Matthew Roach MD,Male,22-02-2020,00:16:42,65578,10,TRUE,Sales
Gloria Johnson,Male,16-03-2023,07:03:34,70884,14,TRUE,HR
Brandi Burns,Female,03-07-2018,19:39:43,74022,10,TRUE,Sales
Chelsea Murphy,Female,06-02-2019,11:44:42,62522,5,TRUE,IT
Terri Steele,Female,22-05-2022,15:19:59,79108,0,FALSE,Sales
Joseph Hooper,Female,30-05-2021,14:46:09,63584,1,TRUE,IT
Jessica Wolfe,Male,05-03-2019,16:58:34,77212,16,TRUE,Sales
Lauren Rivera,Male,25-07-2019,06:46:35,63276,9,FALSE,Marketing
Ryan Vargas,Female,27-04-2018,03:38:46,71494,17,FALSE,Marketing
Randall Alvarado,Female,16-11-2016,02:22:40,71937,14,TRUE,IT
Raymond Gomez,Female,15-02-2017,21:37:54,70935,16,FALSE,HR
Kayla Oliver,Female,28-12-2021,05:13:01,77016,20,TRUE,Sales
Eric Morales,Female,24-02-2015,07:07:17,67217,4,FALSE,Marketing
Ashley Rodriguez,Male,15-08-2016,00:21:32,68007,18,FALSE,IT
Ashley Martinez,Male,05-09-2023,12:46:58,62925,6,FALSE,HR
Nathan Gray,Female,23-05-2018,04:34:42,77855,14,TRUE,IT
Mrs. Cynthia Thompson,Female,21-02-2022,08:22:51,70852,12,FALSE,IT
Gary Miller,Female,06-09-2021,19:21:10,66244,1,FALSE,HR
Jessica Keller,Female,07-12-2022,12:57:33,74910,18,FALSE,IT
Michelle Lewis,Male,27-06-2021,08:08:04,60273,15,TRUE,Marketing
Anthony Martinez,Male,02-06-2017,03:07:26,77143,9,TRUE,IT
Michael Anderson,Female,07-01-2017,07:33:54,69445,2,FALSE,HR
Katherine Walker,Female,07-10-2015,05:33:27,61341,6,FALSE,HR
Katie Olsen,Male,01-06-2018,09:44:28,76002,9,TRUE,Marketing
Tiffany Harris,Female,02-08-2015,16:44:37,60021,1,FALSE,Sales
Glenn Robinson,Female,14-04-2019,13:43:57,69282,16,TRUE,HR
Alexandra Beck,Female,25-02-2022,08:27:31,64674,6,FALSE,HR
Matthew Kim,Female,27-09-2017,18:58:43,67171,1,FALSE,IT
Charles Barton,Male,10-06-2018,15:02:23,72656,13,FALSE,HR
Lori Delgado,Female,14-04-2023,19:42:11,69896,19,FALSE,Sales
Chelsea Bauer,Female,29-03-2021,17:03:52,70567,18,TRUE,Sales
Matthew Jackson,Female,02-11-2020,17:16:25,64446,13,TRUE,IT
Casey Wagner,Female,18-06-2015,01:16:57,62804,9,FALSE,Sales
Jason Solomon,Female,08-05-2021,09:41:30,74316,3,TRUE,Marketing
Molly Maldonado,Female,03-03-2016,14:34:39,76509,11,FALSE,IT
Deborah Gutierrez,Female,06-02-2019,20:03:04,75287,13,FALSE,Marketing
Mary Smith,Male,26-08-2020,21:56:02,78314,0,FALSE,HR
Kelly Campbell,Male,20-04-2019,07:32:40,69908,7,FALSE,Sales
Veronica Jones,Female,24-02-2017,18:52:41,61754,12,TRUE,Marketing
Douglas Johnson,Male,26-12-2020,18:49:27,75165,16,FALSE,HR
Jamie Smith,Male,23-08-2016,09:26:02,61792,8,TRUE,IT
Pamela Estes,Male,28-04-2020,21:25:35,69521,18,FALSE,IT
Christopher Jones,Male,10-11-2023,19:09:20,63979,18,TRUE,Sales
William Contreras,Male,21-07-2019,11:47:18,78417,15,TRUE,Sales
